Module,Cells,,Area (um^2),,Arrival Time (ns),
 ,MSynth,SynopsysDC,MSynth,SynopsysDC,MSynth,SynopsysDC
c1355, 203, 176, 317.87, 254.56, td, 0.99
c17, 5, 5, 7.18, 6.916, td, 0.11
c1908, 268, 189, 330.11, 229.29, td, 1.14
c2670, 358, 264, 587.86, 424.00, td, 1.22
c3540, 749, 469, 867.16, 537.59, td, 1.48
c432, 166, 88, 183.27, 107.46, td, 1.09
c499, 178, 180, 259.08, 255.63, td, 0.93
c5315, 1043, 652, 1373.61, 813.43, td, 1.27
c6288, 3048, 628, 2672.49, 1239.83, td, 3.62
c7552, 1385, 699, 1760.10, 913.18, td, 3.35
c880, 202, 184, 259.88, 224.24, td, 0.93
